case,scenario,cycle_total_s,dt_s,ode_max_step_s,rtol,ode_method,sample_count,laundry_fraction,laundry_u_nominal_gm,laundry_stick_rpm,laundry_stick_width_rpm,max_speed_rpm,z_rms_tail_mm,x_rms_tail_mm,motion_rms_tail_mm,max_motion_mm,max_cabinet_bounce_mm,floor_h_force_max_N,floor_force_max_N,friction_util_raw_max_pct,friction_util_max_pct,foot_min_normal_N,foot_lift_any,foot_slip_any,max_suspension_stroke_mm,max_gasket_force_N,min_drum_tub_gap_mm,m_unbal_est_max_g,speed_limited_time_s,speed_limited_any,peak_current_A,spin_rms_current_A,peak_torque_Nm,peak_mech_power_W,peak_voltage_util_pct,steady_spin_speed_ripple_rms_rpm,dt_mean_s,rot_energy_residual_rms_W,rot_energy_residual_norm_pct,peak_current_delta_pct,peak_torque_delta_pct,z_rms_tail_delta_pct,floor_h_force_delta_pct,m_unbal_est_delta_pct
loose_step80ms,Numerical convergence sweep with fixed 10 ms output sampling,8.0,0.01,0.08,0.003,RK45,801,0.2226,217.035,66.9,17.0,378.25926061445267,2.65131550647635,3.953295834778204,1.89505302099317,19.89742289218103,0.28047071661677336,213.0393108172231,934.55238676502,74.15986753789952,74.15986753789952,104.67638305188224,False,False,22.874371248484763,72.75551704643307,17.254065429875244,0.0,0.0,False,10.141320708906422,9.980365277027252,9.738710276762836,380.3860890565984,38.42107371891187,55.51872407066885,0.01,11.743258848731537,6.571620210349641,1.375910036649588,1.3759100366495696,-0.002353428543227529,-0.0009542191161271049,0.0
nominal_step50ms,Numerical convergence sweep with fixed 10 ms output sampling,8.0,0.01,0.05,0.001,RK45,801,0.2226,217.035,66.9,17.0,378.24380815488206,2.6509414801069937,3.953498089360584,1.8953533820517807,19.897905411445272,0.280450156770861,212.99767084106804,934.7039814819844,74.29256160199954,74.29256160199954,104.73842507536382,False,False,22.87519953264072,72.77769557065403,17.253908649261252,0.0,0.0,False,10.0866871859035,9.981115761833438,9.686245704623131,380.9413390158572,38.42839229737267,55.518839016191734,0.01,11.792258800995786,6.597950335254765,0.8297757340369784,0.829775734036968,-0.016460296096312207,-0.020499709879651065,0.0
strict_step20ms,Numerical convergence sweep with fixed 10 ms output sampling,8.0,0.01,0.02,0.0005,RK45,801,0.2226,217.035,66.9,17.0,378.2580504719625,2.6513096000668344,3.953303164617082,1.8950590330990524,19.89732844882853,0.28046892066432433,213.03674299905663,934.553337854546,74.16227390260995,74.16227390260995,104.67599564374656,False,False,22.874350011575284,72.7559007512533,17.254065226401554,0.0,0.0,False,10.024853252504853,9.982350370473236,9.62686657838041,380.4888826225974,38.48934881368557,55.518724224201684,0.01,11.814598198067172,6.6088045339632036,0.21166380864167117,0.21166380864166065,-0.002576196090060204,-0.0021595335973001208,0.0
demo_tol_step10ms,Numerical convergence sweep with fixed 10 ms output sampling,8.0,0.01,0.01,0.0001,RK45,801,0.2226,217.035,66.9,17.0,378.25845459345214,2.6513779047607495,3.953274561015517,1.895006881558729,19.896918473910482,0.2804684585783903,213.04134369844994,934.5231167336243,74.13713434986269,74.13713434986269,104.66564000791026,False,False,22.874083192714306,72.751807233663,17.254100950271397,0.0,0.0,False,10.003679084350626,9.981499808201601,9.606533024701907,380.36151550954247,38.475629757551694,55.518713474763025,0.01,11.80140060013542,6.602812227599766,0.0,0.0,0.0,0.0,0.0
