case,steady_spin_iq_ripple_rms_A,steady_spin_iq_avg_ripple_rms_A,steady_spin_iq_drive_ripple_rms_A,steady_spin_iq_1x_amp_A,steady_spin_iq_avg_1x_amp_A,steady_spin_te_ripple_rms_Nm,steady_spin_motor_residual_ripple_rms_Nm,steady_spin_speed_ripple_rms_rpm,max_tub_motion_mm,max_floor_load_N,notch_active_time_s,notch_peak_gate
notch_off,0.110205850766368,0.1097942286479192,0.009391079212222129,0.15450159267855595,0.1544931291359591,0.11121033221921318,0.03510802035043908,0.026238306308174614,16.44861805968716,988.1515620678309,0.0,0.0
notch_on,0.009491840081297703,0.0004070171981161936,0.009390006986488703,2.4498578388738777e-05,9.42021258391805e-06,0.03537980216233099,0.035090643109263485,0.0251496597480927,16.448618059687167,987.4699975823049,35.636,1.0
