case,max_tub_motion_mm,max_floor_load_N,max_cabinet_bounce_mm,max_suspension_stroke_mm,max_gasket_force_N,min_drum_tub_gap_mm,max_floor_friction_util_pct,spin_rms_current_A,peak_torque_Nm,max_unbalance_est_g
baseline,16.425418822073325,886.7731760424367,0.23259625970483902,20.73210411522003,60.97676897007353,17.00526131548618,46.07625631514791,9.984811815166552,9.60728728672287,184.89612587077104
unbalance 100g,16.425427528611184,873.9932755258488,0.21939232452725008,20.73218287755274,60.0598392568505,17.055270210380478,41.90020531988908,9.98455235855223,9.60622281582314,172.96712851694332
unbalance 450g,16.425325000945286,1099.0279845650168,0.477601113350191,20.782821127390385,75.92955054224875,16.148555487245865,144.1108606094178,9.985068820968445,9.606999243460987,379.78898849049415
spring -25%,16.13771234423744,880.8781880188722,0.22531671230664813,25.34028205212355,80.14155164743062,17.005232791928382,45.46340379240675,9.984665145411597,9.606821253550443,185.70316410515102
spring +25%,16.464117918172672,891.9504217101464,0.23893311096059194,17.554301779092533,50.977108566543194,17.00515829307173,46.73395178844801,9.984831206519488,9.60712405499409,184.24748990683798
damper -25%,16.577361967459964,867.4947035798074,0.2086617983805547,20.62685798367253,61.41623952601891,17.005241021090967,38.92225929853018,9.98465760316866,9.607154579979428,188.2499309654106
moving load +50%,16.42550430607535,949.5112139286147,0.3060073557730573,20.73216423932367,64.70071350105071,16.75588614971974,65.27540813890293,9.98494114361866,9.607248253884721,242.81165021902308
