case,scenario,cycle_total_s,dt_s,ode_max_step_s,rtol,ode_method,sample_count,laundry_fraction,laundry_u_nominal_gm,laundry_stick_rpm,laundry_stick_width_rpm,max_speed_rpm,z_rms_tail_mm,x_rms_tail_mm,motion_rms_tail_mm,max_motion_mm,max_cabinet_bounce_mm,floor_h_force_max_N,floor_force_max_N,friction_util_raw_max_pct,friction_util_max_pct,foot_min_normal_N,foot_lift_any,foot_slip_any,max_suspension_stroke_mm,max_gasket_force_N,min_drum_tub_gap_mm,m_unbal_est_max_g,speed_limited_time_s,speed_limited_any,peak_current_A,spin_rms_current_A,peak_torque_Nm,peak_mech_power_W,peak_voltage_util_pct,steady_spin_speed_ripple_rms_rpm,dt_mean_s,rot_energy_residual_rms_W,rot_energy_residual_norm_pct
compact_8s,"MuJoCo good-distribution cycle-duration sweep, flag-only 1200 rpm cap",8.0,0.02,0.02,0.001,RK45,401,0.2226,217.035,66.9,17.0,378.7307215768437,2.6774158546419917,3.92256283304336,1.8853001430149268,19.805712151598208,0.279076822151298,212.1617337269078,931.2043501117205,74.95263597522005,74.95263597522005,107.77515865132985,False,False,22.816949386090858,72.34568325986895,17.25781659514492,0.0,0.0,False,10.03288000932579,9.974431632941037,9.634574672955555,380.755963458263,38.47242983561821,55.69729963918868,0.02,11.403658447544332,6.382420208182594
extended_hold_25s,"MuJoCo good-distribution cycle-duration sweep, flag-only 1200 rpm cap",25.0,0.02,0.02,0.001,RK45,1251,0.2226,217.035,66.9,17.0,1005.5047149235265,3.247250395727522,3.459007515524185,0.8674243045731647,19.6143528633587,0.9364335550776249,515.8208449653962,1524.35974963896,2686.8275400322395,999.0,0.0,True,True,23.08219889610519,98.58558453270004,13.918652693306461,654.1949542113255,5.0200000000000005,True,10.046308587192804,9.930516742135332,9.64747013628125,1014.1006793951453,72.40948413616644,86.2278897936702,0.02,41.93860143086685,9.886846892532699
extended_hold_50s,"MuJoCo good-distribution cycle-duration sweep, flag-only 1200 rpm cap",50.0,0.02,0.02,0.001,RK45,2501,0.2226,217.035,66.9,17.0,1200.1297047310113,3.3050256622405225,3.4506727345284607,0.6839744689393121,19.827132607235757,1.1253972924816618,602.1484857610043,1692.2828996218352,60214848576100.43,999.0,0.0,True,True,23.17834187713294,108.4822744789931,12.184110413855656,847.0469909118837,34.02,True,10.049928842028196,7.869976739432336,9.650946666999676,1204.9259233107887,85.27095747378341,0.09021563051708667,0.02,74.0782165274682,18.735303422078438
