case,scenario,cycle_total_s,dt_s,ode_max_step_s,rtol,ode_method,sample_count,laundry_fraction,laundry_u_nominal_gm,laundry_stick_rpm,laundry_stick_width_rpm,max_speed_rpm,z_rms_tail_mm,x_rms_tail_mm,motion_rms_tail_mm,max_motion_mm,max_cabinet_bounce_mm,floor_h_force_max_N,floor_force_max_N,friction_util_raw_max_pct,friction_util_max_pct,foot_min_normal_N,foot_lift_any,foot_slip_any,max_suspension_stroke_mm,max_gasket_force_N,min_drum_tub_gap_mm,m_unbal_est_max_g,speed_limited_time_s,speed_limited_any,peak_current_A,spin_rms_current_A,peak_torque_Nm,peak_mech_power_W,peak_voltage_util_pct,steady_spin_speed_ripple_rms_rpm,dt_mean_s,rot_energy_residual_rms_W,rot_energy_residual_norm_pct
hand_tuned,"Original reduced-order assumption before MuJoCo tumbling study, flag-only 1200 rpm cap",26.0,0.02,0.02,0.001,RK45,1301,0.04,39.00000000000001,260.0,90.0,1000.962916377834,0.575192921633504,0.6163638208758169,0.19167250217943174,16.425496945776462,0.18002687779959034,115.19858146364334,845.3486223942296,31.226144705741653,31.226144705741653,126.01060372768394,False,False,20.732628086247125,59.94245431397479,17.13934934076359,143.0625764630366,0.0,False,10.043949771744273,9.422892256718168,9.645204965806027,1008.1638067813315,72.0301645458842,85.4346513431896,0.02,38.90645699003489,9.523147247658322
mujoco_good_distribution,"Good-distribution MuJoCo injection, U about 217 g*m, flag-only 1200 rpm cap",26.0,0.02,0.02,0.001,RK45,1301,0.2226,217.035,66.9,17.0,1001.3296369264402,3.2491245502596624,3.4630383900744706,0.8733624650266022,19.840113383912957,0.9066124265771973,519.0887227545996,1497.5350361153126,3185.7232621457288,999.0,0.0,True,True,23.06724298820237,99.7724725465237,13.883712534839407,846.6158321928756,19.02,True,10.047231568932537,9.411577395567992,9.648356475645915,1009.3042662917248,72.0566206001501,85.4309149763772,0.02,57.75006135995433,13.863611670878276
mujoco_20_seed_fit,"20-seed distribution fit, mean behavior, flag-only 1200 rpm cap",26.0,0.02,0.02,0.001,RK45,1301,0.297,289.575,60.4,25.8,1001.4435470761259,4.338006383240396,4.630994284514415,1.0079631714411166,22.308746492819726,1.2594087719560352,678.2111160125357,1816.4077707409215,66854605598423.24,999.0,0.0,True,True,25.01204622985015,116.92701889866841,12.60069233635571,1128.0813661761026,19.02,True,10.049717311095637,9.42461180758643,9.65074353384514,1008.8666860548597,72.09695116038156,85.42919919812337,0.02,67.48491831143816,15.964063243341869
mujoco_p50_distribution,"20-seed P50 residual eccentricity, U about 355 g*m, flag-only 1200 rpm cap",26.0,0.02,0.02,0.001,RK45,1301,0.36410256410256403,355.0,60.4,25.8,1001.4074308953474,5.379687850767726,5.623470690673451,1.1121927435922665,24.512055465143643,1.4734711926890547,815.8018533247074,2019.7620150208415,81580185332470.73,999.0,0.0,True,True,26.86744919832909,131.56489830871678,11.365400328481943,1392.9260357896235,19.02,True,10.048938322834758,9.420420398867156,9.649995471418217,1005.8094181615454,71.99690063123575,85.43144403493935,0.02,69.90672395146294,16.361607896818764
mujoco_p90_distribution,"20-seed P90 residual eccentricity, U about 443 g*m, flag-only 1200 rpm cap",26.0,0.02,0.02,0.001,RK45,1301,0.4543589743589743,443.0,60.4,25.8,1000.8666255277399,6.717939621286421,7.006155326730079,1.0679318099222537,27.328608225909516,1.8607169050815542,1007.4215187558506,2380.8103569065624,100742151875585.05,999.0,0.0,True,True,29.313906498438236,154.84438216341596,9.839641657213576,1730.0729111193616,19.02,True,10.048674350332279,9.419808784319633,9.649741978624087,1008.0586098623118,72.05048049537895,85.43994834163665,0.02,69.26348579652532,15.963912713426074
