case,scenario,cycle_total_s,dt_s,ode_max_step_s,rtol,ode_method,sample_count,laundry_fraction,laundry_u_nominal_gm,laundry_stick_rpm,laundry_stick_width_rpm,max_speed_rpm,z_rms_tail_mm,x_rms_tail_mm,motion_rms_tail_mm,max_motion_mm,max_cabinet_bounce_mm,floor_h_force_max_N,floor_force_max_N,friction_util_raw_max_pct,friction_util_max_pct,foot_min_normal_N,foot_lift_any,foot_slip_any,max_suspension_stroke_mm,max_gasket_force_N,min_drum_tub_gap_mm,m_unbal_est_max_g,speed_limited_time_s,speed_limited_any,peak_current_A,spin_rms_current_A,peak_torque_Nm,peak_mech_power_W,peak_voltage_util_pct,steady_spin_speed_ripple_rms_rpm,dt_mean_s,rot_energy_residual_rms_W,rot_energy_residual_norm_pct,policy_speed_limit_rpm,policy_release_ratio,policy_latch
flag_only_1200rpm,P90 moving-laundry speed-limit policy sweep,26.0,0.02,0.02,0.001,RK45,1301,0.4543589743589743,443.0,60.4,25.8,1000.8666255277399,6.717939621286421,7.006155326730079,1.0679318099222537,27.328608225909516,1.8607169050815542,1007.4215187558506,2380.8103569065624,100742151875585.05,999.0,0.0,True,True,29.313906498438236,154.84438216341596,9.839641657213576,1730.0729111193616,19.02,True,10.048674350332279,9.419808784319633,9.649741978624087,1008.0586098623118,72.05048049537895,85.43994834163665,0.02,69.26348579652532,15.963912713426074,1200.0,0.8,True
latched_200rpm,P90 moving-laundry speed-limit policy sweep,26.0,0.02,0.02,0.001,RK45,1301,0.4543589743589743,443.0,60.4,25.8,201.0316396401521,5.474251519489821,10.283500815913245,4.537696971678141,27.328608225909516,0.2630444920248992,354.5008757180143,919.1255194387184,101.52679807027485,101.52679807027485,108.98059534713569,False,True,27.412684790014048,95.92650855380444,17.48359629535879,1681.8711639490816,19.02,True,10.043525639962372,4.762735707833416,9.644797672055866,197.64995847844025,17.999801200102535,0.6480904440254224,0.02,6.173206769591687,11.716146967769197,200.0,0.8,True
release_200rpm,P90 moving-laundry speed-limit policy sweep,26.0,0.02,0.02,0.001,RK45,1301,0.4543589743589743,443.0,60.4,25.8,201.0316396401521,5.474251519489821,10.283500815913245,4.537696971678141,27.328608225909516,0.2630444920248992,354.5008757180143,919.1255194387184,101.52679807027485,101.52679807027485,108.98059534713569,False,True,27.412684790014048,95.92650855380444,17.48359629535879,1681.8711639490816,19.02,True,10.043525639962372,4.762735707833416,9.644797672055866,197.64995847844025,17.999801200102535,0.6480904440254224,0.02,6.173206769591687,11.716146967769197,200.0,0.8,False
distribution_90rpm,P90 moving-laundry speed-limit policy sweep,26.0,0.02,0.02,0.001,RK45,1301,0.4543589743589743,443.0,60.4,25.8,91.04092412156783,1.2369813930925262,1.7878913008299224,1.5176336212334638,16.427585989754498,0.05382530631081352,115.19858146364334,739.4655442087286,29.2830211774914,29.2830211774914,151.35606665752303,False,False,20.73410286739577,59.95093801728309,17.748637253714726,1846.7672253377139,19.02,True,10.041478549453382,3.9001630980847715,9.642831851040082,88.40986932511849,13.34875459745914,0.6696224932992518,0.02,3.3309402087509534,15.647658986183966,90.0,0.6,False
